contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,DV
8.33 Hz vs 0 Hz,1.9302,0.2643,24,1.25,2.6105,7.3028,0,Q1
12.5 Hz vs 0 Hz,2.2687,0.2774,24,1.5548,2.9826,8.1785,0,Q1
25 Hz vs 0 Hz,2.3102,0.2788,24,1.5925,3.0278,8.2848,0,Q1
8.33 Hz vs 0 Hz,0.9725,0.1816,24,0.5051,1.4399,5.3553,0,Q2
12.5 Hz vs 0 Hz,1.2615,0.2157,24,0.7065,1.8166,5.8497,0,Q2
25 Hz vs 0 Hz,1.2458,0.1986,24,0.7347,1.7568,6.2734,0,Q2
8.33 Hz vs 0 Hz,0.8964,0.1754,24,0.4449,1.3479,5.1097,0,Q3
12.5 Hz vs 0 Hz,1.2459,0.2027,24,0.7242,1.7675,6.1468,0,Q3
25 Hz vs 0 Hz,1.1459,0.2153,24,0.5919,1.7,5.3228,0,Q3
8.33 Hz vs 0 Hz,-0.5254,0.1477,24,-0.9056,-0.1452,-3.5563,0.0048,Q4
12.5 Hz vs 0 Hz,-0.538,0.2219,24,-1.1092,0.0331,-2.4243,0.0321,Q4
25 Hz vs 0 Hz,-0.5926,0.2288,24,-1.1815,-0.0037,-2.5898,0.0321,Q4
8.33 Hz vs 0 Hz,0.9345,0.1756,24,0.4824,1.3865,5.3203,0,cognitive_load
12.5 Hz vs 0 Hz,1.2537,0.2039,24,0.7289,1.7785,6.1483,0,cognitive_load
25 Hz vs 0 Hz,1.1959,0.202,24,0.6759,1.7158,5.9191,0,cognitive_load
